,id,issn_l,display_name,host_organization,works_count,cited_by_count,type
0,https://openalex.org/S4210210193,0021-4728,Journal of the Japan Society of Mechanical Engineers,https://openalex.org/P4310313571,61555,62208,journal
1,https://openalex.org/S4210231715,0369-4305,Nippon Hoshasen Gijutsu Gakkai Zasshi,,49323,51764,journal
2,https://openalex.org/S119212824,0031-9015,Journal of the Physical Society of Japan,https://openalex.org/P4310313296,44130,701944,journal
3,https://openalex.org/S2751469422,0047-1852,Nihon rinsho. Japanese journal of clinical medicine,,40362,46240,journal
4,https://openalex.org/S95305481,0009-2673,Bulletin of the Chemical Society of Japan,https://openalex.org/P4310320565,38129,531542,journal
5,https://openalex.org/S2752698192,0021-5287,The Japanese Journal of Urology,https://openalex.org/P4310313616,33392,36801,journal
6,https://openalex.org/S190179609,0021-5198,Japanese Journal of Pharmacology,https://openalex.org/P4310313602,31854,108952,journal
7,https://openalex.org/S90825563,0366-7022,Chemistry Letters,https://openalex.org/P4310320565,29665,386488,journal
8,https://openalex.org/S3861430,0009-2363,Chemical & Pharmaceutical Bulletin,https://openalex.org/P4310313382,28896,409531,journal
9,https://openalex.org/S2764346059,0002-1369,Agricultural and biological chemistry,https://openalex.org/P4310311648,27027,151175,journal
10,https://openalex.org/S4210221755,0021-5384,Nihon Naika Gakkai zasshi,https://openalex.org/P4310313351,25431,28470,journal
11,https://openalex.org/S4210229544,2424-3124,"Robotikusu, Mekatoronikusu Koenkai koen gaiyoshu",https://openalex.org/P4310313571,24374,25056,journal
12,https://openalex.org/S4210187371,0031-6903,Yakugaku zasshi,https://openalex.org/P4310313382,24352,73734,journal
13,https://openalex.org/S71018124,0582-4052,Seibutsu Butsuri,https://openalex.org/P4310313296,21188,21648,journal
14,https://openalex.org/S2750688800,0385-0684,Gan to kagaku ryoho. Cancer & chemotherapy,https://openalex.org/P4310320586,21070,26469,journal
15,https://openalex.org/S4210219382,2433-7609,Nihon Shinri Gakkai Taikai happyo ronbunshu,https://openalex.org/P4320800560,20796,20858,journal
16,https://openalex.org/S184547178,0021-924X,Journal of Biochemistry,https://openalex.org/P4310311648,20740,401744,journal
17,https://openalex.org/S168357330,0021-1575,Tetsu To Hagane-journal of The Iron and Steel Institute of Japan,https://openalex.org/P4320800556,20151,47989,journal
18,https://openalex.org/S2914338665,0022-135X,Journal of Geography,https://openalex.org/P4310320547,19421,26712,journal
19,https://openalex.org/S4210190957,0023-2734,Kōgyō kagaku zasshi,https://openalex.org/P4310320565,19267,25281,journal
20,https://openalex.org/S27298842,0385-5414,Heterocycles,https://openalex.org/P4310320990,17833,160296,journal
21,https://openalex.org/S154771817,0021-8820,The Journal of Antibiotics,https://openalex.org/P4310319909,17821,266729,journal
22,https://openalex.org/S83252788,0033-068X,Progress of Theoretical and Experimental Physics,https://openalex.org/P4310311648,17534,238817,journal
23,https://openalex.org/S2764783054,0387-5024,Transactions of the Japan Society of Mechanical Engineers. C,https://openalex.org/P4310313571,16793,29180,journal
24,https://openalex.org/S169477635,0030-6622,Nippon Jibiinkoka Gakkai Kaiho,https://openalex.org/P4322632801,16669,21168,journal
25,https://openalex.org/S4210186241,0021-5392,Nippon Suisan Gakkaishi,https://openalex.org/P4310319900,16514,105490,journal
26,https://openalex.org/S4210186290,2433-1325,Nenji Taikai koen ronbunshu,https://openalex.org/P4310313571,16208,16474,journal
27,https://openalex.org/S2764383469,0387-5016,Transactions of the Japan Society of Mechanical Engineers. B,https://openalex.org/P4310313571,16148,27569,journal
28,https://openalex.org/S2914540776,0386-9768,The Japanese Journal of Gastroenterological Surgery,https://openalex.org/P4322614513,15514,20324,journal
29,https://openalex.org/S154471048,0918-2918,Internal Medicine,https://openalex.org/P4310313351,15418,129629,journal
30,https://openalex.org/S4210177491,1345-2843,Nihon Rinshō Geka Gakkai Zasshi,,15348,20271,journal
31,https://openalex.org/S4210189610,0032-6313,Jibi inkōka rinshō,,15298,17094,journal
32,https://openalex.org/S2764402342,0019-4344,Journal of Indian and Buddhist Studies,https://openalex.org/P4322614523,14444,14524,journal
33,https://openalex.org/S2764606606,0030-1558,Journal of Okayama Medical Association,,14394,14945,journal
34,https://openalex.org/S4210172064,2424-2667,Nenji Taikai,https://openalex.org/P4310313571,14276,14374,journal
35,https://openalex.org/S4210173316,0037-1033,Seikei geka to saigai geka,,13876,14544,journal
36,https://openalex.org/S4210173253,0021-4876,Nippon Kinzoku Gakkaishi,https://openalex.org/P4310313591,13512,38718,journal
37,https://openalex.org/S30364472,0525-1931,Bunseki Kagaku,https://openalex.org/P4310313437,13372,34459,journal
38,https://openalex.org/S4210213007,0019-2341,Shōmei Gakkai zasshi,,13136,13875,journal
39,https://openalex.org/S4210193380,0002-1407,Nippon Nōgei Kagakukaishi,,12587,19569,journal
40,https://openalex.org/S126523489,0303-8106,Audiology Japan,https://openalex.org/P4320800655,12562,13108,journal
41,https://openalex.org/S2764446333,0372-7971,journal of the Japan Society for Testing Materials,,12375,24597,journal
42,https://openalex.org/S2764588497,0385-440X,The Japanese journal of medical instrumentation,,12362,12426,journal
43,https://openalex.org/S2751036991,0021-5252,Kyobu geka. The Japanese journal of thoracic surgery,https://openalex.org/P4322616781,12291,13955,journal
44,https://openalex.org/S2764385719,1340-4210,"Journal of architecture,planning and environmental engineering",,12053,18011,journal
45,https://openalex.org/S189069745,0040-8727,Tohoku Journal of Experimental Medicine,https://openalex.org/P4310313307,11878,87149,journal
46,https://openalex.org/S4210209466,0368-6833,Kyushu Shika Gakkai Zasshi,,11869,12241,journal
47,https://openalex.org/S2764550843,0047-1860,The Japanese journal of clinical pathology,https://openalex.org/P4310321184,11803,13695,journal
48,https://openalex.org/S4210207677,0369-416X,Nippon Jōzō Kyōkai zasshi,,11699,12256,journal
49,https://openalex.org/S2752469658,0021-4892,Masui. The Japanese journal of anesthesiology,https://openalex.org/P4322617006,11339,14618,journal
50,https://openalex.org/S4210237177,0919-0945,Nihon Kokyūki Geka Gakkai zasshi,,11252,11874,journal
51,https://openalex.org/S4210220823,0037-9875,Sen'i Gakkaishi,,11221,18048,journal
52,https://openalex.org/S2493627025,0916-8516,IEICE Transactions on Communications,https://openalex.org/P4320800604,11215,45138,journal
53,https://openalex.org/S2764987464,0484-6710,"Japan Journal of Physical Education, Health and Sport Sciences",https://openalex.org/P4323293569,11214,12232,journal
54,https://openalex.org/S2764951900,0387-1185,Transactions of the Architectural Institute of Japan,https://openalex.org/P4320800580,11031,12392,journal
55,https://openalex.org/S4210230924,0912-0289,Seimitsu Kōgakkaishi,,11020,17105,journal
56,https://openalex.org/S2764800956,0387-5008,Transactions of the Japan Society of Mechanical Engineers. A,https://openalex.org/P4310313571,10832,22615,journal
57,https://openalex.org/S165235614,0918-6158,Biological & Pharmaceutical Bulletin,https://openalex.org/P4310313382,10560,223011,journal
58,https://openalex.org/S36068028,0022-815X,Japan Tappi Journal,https://openalex.org/P4320800616,10520,11768,journal
59,https://openalex.org/S2764471703,0385-4221,The transactions of the Institute of Electrical Engineers of Japan.C,,10110,15200,journal
60,https://openalex.org/S2764844316,0369-3775,Journal of the Fuel Society of Japan,,9973,10860,journal
61,https://openalex.org/S40103090,0916-7250,Journal of Veterinary Medical Science,https://openalex.org/P4310313482,9791,99644,journal
62,https://openalex.org/S2913123441,0549-4974,The Japanese Journal of Ergonomics,https://openalex.org/P4322633736,9747,11456,journal
63,https://openalex.org/S4210214158,0022-6769,Juntendō Igaku,,9721,9845,journal
64,https://openalex.org/S95881276,0033-8303,Radioisotopes,https://openalex.org/P4320800600,9602,14199,journal
65,https://openalex.org/S112518905,0369-4577,Nippon Kagaku Kaishi,https://openalex.org/P4310320565,9504,20427,journal
66,https://openalex.org/S194384443,0451-4203,Kanzo,https://openalex.org/P4322764925,9307,13657,journal
67,https://openalex.org/S4210209311,1345-9678,Materials transactions,,9283,118706,journal
68,https://openalex.org/S2751134380,0485-1439,The Japanese journal of clinical hematology,https://openalex.org/P4322632809,9256,10981,journal
69,https://openalex.org/S170822592,0470-8105,Neurologia Medico-chirurgica,https://openalex.org/P4310313358,9127,70161,journal
70,https://openalex.org/S4210172156,0386-9776,Nihon Rinshō Geka Igakkai zasshi,,9095,9366,journal
71,https://openalex.org/S2913251149,0021-5163,Japanese Journal of Oral and Maxillofacial Surgery,https://openalex.org/P4320800594,9021,11071,journal
72,https://openalex.org/S2764898922,0029-022X,"Journal of the Society of Rubber Industry,Japan",,9010,10538,journal
73,https://openalex.org/S4210185993,0037-9980,Yūki Gōsei Kagaku Kyōkaishi,https://openalex.org/P4310313446,8994,25752,journal
74,https://openalex.org/S180227014,0289-7806,Doboku Gakkai Ronbunshu,https://openalex.org/P4320800552,8990,17854,journal
75,https://openalex.org/S63511553,0915-1559,Isij International,https://openalex.org/P4320800556,8946,166221,journal
76,https://openalex.org/S4210196937,1340-4202,Nihon Kenchiku Gakkai kōzō-kei ronbunshū,,8818,16282,journal
77,https://openalex.org/S2764492102,0039-9450,"Protein,nucleic acid and enzyme",https://openalex.org/P4310313218,8808,9718,journal
78,https://openalex.org/S2764952399,0385-4213,The transactions of the Institute of Electrical Engineers of Japan.B,,8782,17755,journal
79,https://openalex.org/S2754219712,0001-6330,Acta obstetrica et gynaecologica Japonica,https://openalex.org/P4323253402,8649,9914,journal
80,https://openalex.org/S2530729162,0029-0270,Transactions of the Japan Society of Mechanical Engineers,https://openalex.org/P4310313571,8641,12523,journal
